System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-1398c,KTEP,294.86617,48.63897,13.82,12.36,0.1437,0.01,2454966.22850,0.00500,4.1382768,0.0000260,6126,115,125,0.01,0.14,0.17,1.130,0.120,0.050,1.180,0.370,0.140,4.340,0.090,0.190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.101,0.017,0.021,-1,-1,-1,-1,-1,-1,1324,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1399b,KTEP,293.31167,46.04169,15.63,13.93,0.0813,0.02,2454965.29025,0.00500,1.6386525,0.0000087,5735,112,112,-0.03,0.13,0.17,0.970,0.060,0.060,0.960,0.160,0.080,4.470,0.060,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.115,0.037,0.012,-1,-1,-1,-1,-1,-1,1610,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1400b,KTEP,286.27167,45.44081,16.00,13.77,0.1409,0.04,2454967.75185,0.00700,9.0668761,0.0000725,5044,44,46,0.04,0.15,0.14,0.830,0.030,0.070,0.780,0.040,0.030,4.580,0.020,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.170,0.019,0.021,-1,-1,-1,-1,-1,-1,725,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1401b,KTEP,287.46604,40.75844,15.12,13.54,0.1901,0.02,2454970.51003,0.00500,11.2005886,0.0000769,5964,105,125,0.04,0.14,0.16,1.070,0.070,0.170,1.100,0.230,0.120,4.390,0.080,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.042,0.014,-1,-1,-1,-1,-1,-1,808,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1402b,KTEP,291.84779,48.96811,14.82,12.86,0.1290,0.01,2454964.91927,0.00500,2.0338748,0.0000141,5416,65,74,0.03,0.14,0.15,0.900,0.040,0.040,0.870,0.080,0.050,4.530,0.040,0.090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.143,0.026,0.025,-1,-1,-1,-1,-1,-1,1789,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1403b,KTEP,290.86771,38.96011,15.73,14.20,0.1320,0.03,2454964.62458,0.00400,5.1949275,0.0000278,6060,144,146,0.03,0.14,0.16,1.110,0.100,0.070,1.150,0.290,0.130,4.360,0.090,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.181,0.059,0.023,-1,-1,-1,-1,-1,-1,1238,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1404b,KTEP,296.00942,50.49836,15.92,13.76,0.1015,0.06,2454974.81212,0.00700,15.9314412,0.0001331,5261,99,105,-0.09,0.16,0.19,0.840,0.050,0.040,0.800,0.050,0.050,4.560,0.040,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.027,0.012,-1,-1,-1,-1,-1,-1,596,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1405b,KTEP,295.68483,39.25614,16.06,14.24,0.2409,0.11,2454974.49504,0.00500,28.2274130,0.0001498,5925,157,211,0.03,0.14,0.15,1.050,0.080,0.050,1.070,0.230,0.120,4.400,0.080,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.252,0.066,0.023,-1,-1,-1,-1,-1,-1,565,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1406b,KTEP,292.08183,38.91503,13.39,11.88,0.1238,0.01,2454965.82099,0.00500,11.6290416,0.0000744,5892,61,56,0.04,0.10,0.08,1.050,0.040,0.050,1.120,0.180,0.110,4.360,0.090,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.018,0.018,-1,-1,-1,-1,-1,-1,854,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1407b,KTEP,283.94242,41.47158,15.07,13.49,0.2647,0.04,2454969.94620,0.02000,20.0708757,0.0004868,6010,159,155,0.05,0.14,0.14,1.100,0.100,0.050,1.150,0.270,0.140,4.360,0.090,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.285,0.048,0.059,-1,-1,-1,-1,-1,-1,826,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1408b,KTEP,282.69992,45.42575,12.09,10.69,0.1832,0.01,2454964.76579,0.00800,2.9979293,0.0000278,6170,160,160,-0.00,0.15,0.22,1.210,0.100,0.050,1.350,0.230,0.230,4.250,0.140,0.140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,0.018,0.027,-1,-1,-1,-1,-1,-1,1616,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1409b,KTEP,290.08475,51.20858,15.41,13.25,0.0483,0.02,2454965.13343,0.00300,0.7648635,0.0000033,5160,77,74,-0.03,0.15,0.15,0.830,0.040,0.030,0.790,0.040,0.040,4.570,0.030,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.093,0.013,0.012,-1,-1,-1,-1,-1,-1,1733,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1410b,KTEP,290.51017,38.74353,16.31,12.77,0.1832,0.07,2455012.28674,0.00800,60.8660974,0.0006497,4092,100,78,0.01,0.15,0.15,0.630,0.040,0.040,0.600,0.030,0.040,4.670,0.030,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.124,0.006,0.009,-1,-1,-1,-1,-1,-1,244,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1411b,KTEP,286.36154,42.96392,15.98,14.24,0.2524,0.09,2454967.88080,0.01000,86.1160885,0.0009081,5664,68,68,-0.04,0.14,0.20,0.950,0.050,0.060,0.920,0.130,0.070,4.490,0.050,0.120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.277,0.095,0.031,-1,-1,-1,-1,-1,-1,441,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1412b,KTEP,292.18008,49.20247,13.35,11.77,0.1345,0.01,2454966.09123,0.00500,3.6146033,0.0000244,5880,81,69,0.04,0.09,0.09,1.060,0.050,0.050,1.270,0.230,0.180,4.250,0.130,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.080,0.013,0.017,-1,-1,-1,-1,-1,-1,1397,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1413b,KTEP,294.34163,46.49875,16.49,14.22,0.1497,0.05,2454974.82648,0.00700,13.1829329,0.0001074,5196,118,117,-0.05,0.17,0.17,0.840,0.040,0.020,0.800,0.050,0.050,4.570,0.030,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.164,0.032,0.013,-1,-1,-1,-1,-1,-1,661,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1414b,KTEP,284.92858,42.42231,15.15,12.73,0.0575,0.02,2454967.29974,0.00300,3.5157549,0.0000139,4951,74,76,-0.02,0.15,0.17,0.800,0.030,0.060,0.750,0.030,0.040,4.590,0.020,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.037,0.014,-1,-1,-1,-1,-1,-1,1033,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1415b,KTEP,285.15692,47.87331,15.97,13.95,0.0395,0.02,2454964.68872,0.00200,0.6364248,0.0000015,5267,56,59,0.12,0.15,0.15,0.890,0.040,0.070,0.840,0.060,0.040,4.540,0.030,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.024,0.008,-1,-1,-1,-1,-1,-1,1846,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1416b,KTEP,298.66346,43.89406,14.42,12.54,0.1429,0.01,2454965.66025,0.00700,1.4951513,0.0000120,6019,322,284,0.03,0.13,0.16,1.090,0.200,0.100,1.150,0.430,0.180,4.350,0.120,0.210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.021,0.029,-1,-1,-1,-1,-1,-1,1870,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1417b,KTEP,290.94987,40.60522,14.05,12.34,0.3010,0.01,2454975.75880,0.01000,20.3504704,0.0002623,5839,94,138,0.02,0.15,0.16,1.020,0.060,0.090,1.020,0.200,0.090,4.430,0.070,0.150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.090,0.026,0.013,-1,-1,-1,-1,-1,-1,695,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1418b,KTEP,282.99750,41.67853,15.36,12.76,0.1432,0.05,2454969.82336,0.00800,22.4765952,0.0002040,4770,60,63,-0.00,0.15,0.17,0.770,0.030,0.050,0.720,0.020,0.030,4.610,0.020,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.108,0.011,0.008,-1,-1,-1,-1,-1,-1,419,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1419b,KTEP,292.25463,37.97142,15.95,14.08,0.2385,0.07,2454969.12740,0.01300,42.5217006,0.0005942,5796,114,157,0.04,0.14,0.17,1.010,0.060,0.040,1.010,0.230,0.100,4.430,0.080,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.219,0.067,0.022,-1,-1,-1,-1,-1,-1,510,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1420b,KTEP,296.20379,42.77781,16.12,13.76,0.1180,0.03,2454967.14680,0.00500,6.6995885,0.0000430,5187,207,172,-0.10,0.17,0.19,0.820,0.060,0.170,0.790,0.070,0.060,4.570,0.040,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.020,0.008,-1,-1,-1,-1,-1,-1,806,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1421b,KTEP,286.58058,48.54417,12.86,11.55,0.1971,0.01,2454971.42190,0.01900,6.9131732,0.0001679,6335,73,69,0.05,0.09,0.09,1.250,0.090,0.100,1.420,0.290,0.160,4.230,0.090,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.081,0.014,0.012,-1,-1,-1,-1,-1,-1,1209,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1422b,KTEP,293.89017,48.33611,15.77,14.35,0.2845,0.02,2454982.03760,0.01300,18.6052046,0.0002929,6194,143,122,0.00,0.14,0.17,1.150,0.090,0.050,1.230,0.240,0.150,4.320,0.090,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173,0.049,0.024,-1,-1,-1,-1,-1,-1,833,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1423b,KTEP,288.24375,41.11006,14.84,12.40,0.1335,0.02,2454979.66221,0.00600,23.9553986,0.0001816,4939,85,85,-0.02,0.14,0.17,0.790,0.040,0.050,0.750,0.030,0.040,4.590,0.020,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.253,0.143,0.157,-1,-1,-1,-1,-1,-1,741,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1424b,KTEP,290.99167,40.22931,13.77,12.10,0.3097,0.01,2454970.33160,0.01300,29.6099055,0.0005169,5838,95,90,0.01,0.09,0.09,1.020,0.050,0.120,1.070,0.140,0.090,4.390,0.080,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.155,0.023,0.021,-1,-1,-1,-1,-1,-1,629,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1425b,KTEP,294.95100,43.01242,13.76,11.91,0.2993,0.01,2454968.45210,0.01200,14.4540329,0.0001784,5718,170,174,-0.03,0.14,0.18,0.970,0.070,0.050,0.950,0.160,0.090,4.470,0.070,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.064,0.012,0.008,-1,-1,-1,-1,-1,-1,676,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1426b,KTEP,292.54575,49.41694,15.34,13.64,0.1998,0.02,2454966.40971,0.00900,14.2563272,0.0001743,5831,82,107,0.03,0.14,0.17,1.020,0.050,0.170,1.020,0.210,0.090,4.430,0.070,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.154,0.052,0.017,-1,-1,-1,-1,-1,-1,797,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1427b,KTEP,295.34967,45.11453,15.61,13.71,0.0632,0.01,2454965.41921,0.00600,0.9689808,0.0000064,5793,121,180,0.06,0.14,0.16,1.010,0.060,0.070,1.010,0.200,0.100,4.440,0.070,0.150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.096,0.031,0.010,-1,-1,-1,-1,-1,-1,1844,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1428b,KTEP,297.64225,49.59497,13.87,12.11,0.1914,0.02,2454973.59136,0.00800,10.6761592,0.0001071,6184,54,59,0.35,0.05,0.05,1.280,0.030,0.060,1.360,0.100,0.080,4.280,0.050,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.160,0.029,0.012,-1,-1,-1,-1,-1,-1,1049,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1429b,KTEP,285.36621,49.04486,15.00,13.40,0.1147,0.01,2454968.01836,0.00500,4.4849432,0.0000338,5902,69,77,0.04,0.13,0.17,1.050,0.060,0.070,1.070,0.280,0.100,4.400,0.080,0.180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.110,0.037,0.012,-1,-1,-1,-1,-1,-1,1199,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1430b,KTEP,289.69746,43.37208,15.56,12.93,0.0775,0.03,2454966.61605,0.00400,2.4605010,0.0000117,4796,47,60,-0.03,0.20,0.18,0.770,0.030,0.150,0.720,0.020,0.040,4.620,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.092,0.008,0.008,-1,-1,-1,-1,-1,-1,969,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1431b,KTEP,292.65837,49.86517,15.45,13.76,0.1660,0.02,2454969.35647,0.00600,5.8660127,0.0000464,5806,77,100,0.07,0.14,0.14,1.030,0.060,0.060,1.030,0.290,0.090,4.420,0.070,0.200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.129,0.040,0.018,-1,-1,-1,-1,-1,-1,1064,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1432b,KTEP,295.52417,49.82953,15.51,13.97,0.2082,0.03,2454983.53940,0.01200,23.9107056,0.0004387,6031,122,137,0.02,0.13,0.15,1.090,0.090,0.040,1.130,0.300,0.130,4.370,0.080,0.170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.170,0.054,0.019,-1,-1,-1,-1,-1,-1,709,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1433b,KTEP,287.36325,49.45689,14.96,13.49,0.0990,0.02,2454966.53763,0.00500,4.1359293,0.0000281,6097,98,116,0.07,0.14,0.14,1.140,0.110,0.060,1.190,0.330,0.130,4.340,0.080,0.170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.021,0.012,-1,-1,-1,-1,-1,-1,1226,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1434b,KTEP,295.53837,51.20294,12.18,10.82,0.2242,0.01,2454967.95880,0.01000,8.0533791,0.0000940,6291,89,88,0.19,0.09,0.09,1.470,0.130,0.030,2.040,0.370,0.340,3.980,0.120,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.114,0.021,0.029,-1,-1,-1,-1,-1,-1,1320,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1435b,KTEP,291.17325,44.92111,13.01,11.73,0.1522,0.01,2454966.09066,0.00600,4.4534242,0.0000385,6356,75,65,-0.03,0.09,0.10,1.210,0.060,0.060,1.320,0.180,0.110,4.280,0.070,0.090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.080,0.015,0.010,-1,-1,-1,-1,-1,-1,1331,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1436b,KTEP,297.71154,46.76800,15.08,13.36,0.3209,0.01,2454973.37090,0.01400,9.7056930,0.0001722,5972,142,172,-0.01,0.13,0.18,1.060,0.080,0.070,1.090,0.290,0.140,4.390,0.090,0.180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.185,0.032,0.035,-1,-1,-1,-1,-1,-1,1001,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1437b,KTEP,291.86492,49.32592,15.77,13.92,0.2455,0.02,2454974.50340,0.01200,10.9294815,0.0001308,5557,79,80,-0.02,0.14,0.17,0.930,0.040,0.070,0.900,0.110,0.060,4.510,0.040,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.108,0.032,0.010,-1,-1,-1,-1,-1,-1,770,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1438b,KTEP,289.28979,40.68167,15.07,13.14,0.0663,0.01,2454964.93925,0.00500,2.3194157,0.0000160,5530,57,67,0.20,0.13,0.17,0.970,0.050,0.060,0.960,0.190,0.080,4.460,0.070,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.018,0.018,-1,-1,-1,-1,-1,-1,1490,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1439b,KTEP,285.73979,40.98003,16.98,12.74,0.1023,0.11,2455373.04161,0.00500,8.0739410,0.0000485,3578,55,52,-0.03,0.11,0.13,0.460,0.040,0.030,0.430,0.040,0.050,4.830,0.050,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.142,0.018,0.017,-1,-1,-1,-1,-1,-1,420,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1440b,KTEP,285.34692,48.31222,14.29,12.56,0.3328,0.02,2454987.76160,0.02400,39.8595050,0.0010000,5698,67,69,0.04,0.14,0.17,0.980,0.040,0.020,0.960,0.170,0.070,4.460,0.060,0.140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.145,0.022,0.028,-1,-1,-1,-1,-1,-1,597,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1441b,KTEP,293.71908,43.12458,14.42,12.69,0.2929,0.02,2455002.14110,0.01400,39.4420781,0.0007063,5802,123,151,0.01,0.14,0.17,1.000,0.060,0.020,1.000,0.160,0.090,4.450,0.060,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.224,0.036,0.055,-1,-1,-1,-1,-1,-1,682,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1442b,KTEP,291.25558,48.84692,12.25,10.97,0.5906,0.08,2454993.86387,0.00500,81.4160138,0.0004882,6394,77,78,0.26,0.07,0.08,1.340,0.050,0.060,1.440,0.130,0.090,4.250,0.050,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.413,0.078,0.039,-1,-1,-1,-1,-1,-1,522,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1443b,KTEP,283.43575,47.06686,12.36,11.02,0.0893,0.01,2454965.38894,0.00500,2.4181016,0.0000137,6289,83,68,0.00,0.08,0.08,1.190,0.050,0.100,1.270,0.120,0.090,4.300,0.060,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.076,0.013,0.008,-1,-1,-1,-1,-1,-1,1602,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1444b,KTEP,285.33062,42.04042,12.45,10.81,0.2211,0.04,2454992.14010,0.01500,33.4203001,0.0006669,5810,86,70,0.06,0.10,0.09,1.030,0.040,0.070,1.050,0.120,0.080,4.400,0.070,0.090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.219,0.033,0.025,-1,-1,-1,-1,-1,-1,581,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1445b,KTEP,280.24942,43.91506,12.51,11.11,0.1879,0.01,2454965.98523,0.00600,10.6005208,0.0000887,6150,71,61,-0.03,0.08,0.11,1.130,0.070,0.050,1.260,0.260,0.150,4.280,0.110,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097,0.016,0.019,-1,-1,-1,-1,-1,-1,987,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1446b,KTEP,289.42392,46.72617,12.70,10.20,0.0487,0.01,2454964.63498,0.00200,0.6899679,0.0000013,4865,44,52,0.11,0.10,0.10,0.810,0.020,0.120,0.750,0.010,0.010,4.600,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.070,0.005,0.002,-1,-1,-1,-1,-1,-1,1539,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1447b,KTEP,289.64342,50.72708,14.81,13.12,0.2298,0.09,2454993.44836,0.00600,56.6746666,0.0004151,5722,109,88,-0.03,0.13,0.18,0.970,0.050,0.160,0.950,0.160,0.070,4.470,0.060,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.358,0.057,0.076,-1,-1,-1,-1,-1,-1,522,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1448b,KTEP,287.86738,50.59556,14.54,12.93,0.1251,0.03,2454970.57434,0.00500,12.2705704,0.0000686,5774,90,67,-0.16,0.18,0.21,0.950,0.060,0.070,0.930,0.120,0.080,4.490,0.050,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149,0.048,0.013,-1,-1,-1,-1,-1,-1,811,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1449b,KTEP,288.23175,50.56786,15.17,13.64,0.2648,0.02,2454970.71768,0.00800,13.2274753,0.0001326,5979,99,97,0.04,0.14,0.17,1.080,0.070,0.150,1.100,0.230,0.110,4.390,0.080,0.150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173,0.056,0.019,-1,-1,-1,-1,-1,-1,867,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1450b,KTEP,294.55379,45.08139,15.88,12.91,0.2135,0.06,2454973.82739,0.00800,54.5091549,0.0005671,4524,105,94,-0.02,0.15,0.15,0.710,0.030,0.070,0.680,0.030,0.040,4.630,0.020,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173,0.016,0.014,-1,-1,-1,-1,-1,-1,308,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1451b,KTEP,293.44642,40.40989,15.50,13.66,0.2019,0.07,2454974.45140,0.01300,35.6225528,0.0005427,5782,134,186,0.01,0.13,0.16,1.000,0.070,0.100,0.990,0.180,0.090,4.450,0.070,0.140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.200,0.053,0.018,-1,-1,-1,-1,-1,-1,523,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1452b,KTEP,292.42279,38.26631,13.20,11.63,0.2178,0.02,2454972.88848,0.00700,42.9136635,0.0003306,6101,90,113,0.14,0.08,0.09,1.410,0.110,0.060,2.060,0.280,0.260,3.950,0.080,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.285,0.034,0.074,-1,-1,-1,-1,-1,-1,810,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1453b,KTEP,286.12554,47.94758,15.72,14.00,0.1668,0.07,2454983.25797,0.00700,47.1607932,0.0004362,5665,68,70,0.01,0.13,0.16,0.970,0.040,0.110,0.940,0.150,0.070,4.480,0.050,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.230,0.060,0.025,-1,-1,-1,-1,-1,-1,503,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1454b,KTEP,284.22329,48.83175,15.08,13.19,0.2455,0.04,2455008.47300,0.01100,47.0320478,0.0007193,5448,60,64,-0.02,0.15,0.17,0.900,0.040,0.040,0.860,0.080,0.050,4.530,0.040,0.090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.177,0.037,0.028,-1,-1,-1,-1,-1,-1,492,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1455b,KTEP,294.08304,50.50275,16.44,12.92,0.1578,0.11,2454990.02073,0.00500,49.2768448,0.0003357,4075,61,57,-0.02,0.13,0.17,0.620,0.030,0.040,0.600,0.030,0.040,4.680,0.030,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.156,0.008,0.012,-1,-1,-1,-1,-1,-1,271,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1456b,KTEP,286.94529,43.82275,15.93,12.68,0.1602,0.03,2454969.81060,0.01100,18.1373788,0.0002307,4231,68,86,-0.09,0.21,0.34,0.640,0.050,0.070,0.620,0.040,0.070,4.670,0.050,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.126,0.010,0.013,-1,-1,-1,-1,-1,-1,433,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1457b,KTEP,283.77058,42.02722,14.19,12.54,0.3213,0.03,2454976.77855,0.00700,51.1104797,0.0004344,5866,137,120,-0.05,0.15,0.19,1.010,0.070,0.070,1.010,0.150,0.100,4.430,0.070,0.120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.143,0.040,0.012,-1,-1,-1,-1,-1,-1,478,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1458b,KTEP,283.21158,41.03806,14.36,12.51,0.2226,0.09,2454993.65401,0.00400,47.9869119,0.0002568,5653,120,136,0.02,0.13,0.16,0.960,0.050,0.140,0.940,0.140,0.070,4.480,0.060,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.299,0.079,0.042,-1,-1,-1,-1,-1,-1,493,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1459b,KTEP,282.42300,46.01400,14.87,12.38,0.2851,0.03,2454999.01370,0.01200,62.8694630,0.0010000,4828,42,41,0.01,0.15,0.16,0.780,0.030,0.040,0.740,0.020,0.030,4.610,0.020,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.005,0.011,-1,-1,-1,-1,-1,-1,349,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1460b,KTEP,285.55779,44.01078,16.35,13.36,0.1083,0.09,2454982.94353,0.00500,29.9632816,0.0001998,4422,44,45,-0.02,0.18,0.17,0.700,0.030,0.050,0.670,0.020,0.040,4.640,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.200,0.016,0.018,-1,-1,-1,-1,-1,-1,391,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1461b,KTEP,285.83046,43.19839,15.97,13.47,0.1797,0.07,2454981.46564,0.00500,29.3493852,0.0001755,4919,50,58,-0.04,0.17,0.17,0.790,0.040,0.140,0.740,0.030,0.040,4.600,0.020,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.180,0.020,0.014,-1,-1,-1,-1,-1,-1,451,-1,-1,-999,-999,-999,-999,-999,-999
